snapshot_id,card_id,games_played,games_won,win_rate,pick_rate
1,27000006,284,155,54.58,17.21
1,27000007,16,5,31.25,0.97
1,27000008,27,16,59.26,1.64
1,27000009,53,25,47.17,3.21
1,27000010,44,26,59.09,2.67
1,27000012,68,34,50.00,4.12
1,27000013,12,6,50.00,0.73
1,28000000,389,213,54.76,23.58
1,28000001,470,250,53.19,28.48
1,28000002,68,31,45.59,4.12
1,28000003,57,24,42.11,3.45
1,28000004,394,179,45.43,23.88
1,28000005,66,29,43.94,4.00
1,28000006,36,21,58.33,2.18
1,28000007,69,36,52.17,4.18
1,28000008,314,146,46.50,19.03
1,28000009,74,34,45.95,4.48
1,28000010,66,36,54.55,4.00
1,28000011,508,260,51.18,30.79
1,28000012,113,63,55.75,6.85
1,28000013,13,4,30.77,0.79
1,28000014,77,47,61.04,4.67
1,28000015,227,119,52.42,13.76
1,28000016,8,3,37.50,0.48
1,28000017,100,45,45.00,6.06
1,28000018,59,32,54.24,3.58
1,28000023,2,1,50.00,0.12
1,28000024,26,15,57.69,1.58
1,28000025,2,0,0.00,0.12
1,28000026,56,33,58.93,3.39
2,26000000,181,92,50.83,22.57
2,26000001,42,26,61.90,5.24
2,26000002,22,15,68.18,2.74
2,26000003,53,36,67.92,6.61
2,26000004,79,39,49.37,9.85
2,26000005,50,27,54.00,6.23
2,26000006,60,31,51.67,7.48
2,26000007,121,57,47.11,15.09
2,26000008,15,8,53.33,1.87
2,26000009,11,7,63.64,1.37
2,26000010,199,99,49.75,24.81
2,26000011,201,101,50.25,25.06
2,26000012,113,54,47.79,14.09
2,26000013,18,9,50.00,2.24
2,26000014,73,36,49.32,9.10
2,26000015,47,27,57.45,5.86
2,26000016,59,29,49.15,7.36
2,26000017,117,58,49.57,14.59
2,26000018,208,113,54.33,25.94
2,26000019,14,5,35.71,1.75
2,26000020,40,16,40.00,4.99
2,26000021,199,99,49.75,24.81
2,26000022,15,5,33.33,1.87
2,26000023,18,8,44.44,2.24
2,26000024,19,8,42.11,2.37
2,26000025,36,22,61.11,4.49
2,26000026,51,19,37.25,6.36
2,26000027,59,27,45.76,7.36
2,26000028,1,1,100.00,0.12
2,26000029,3,1,33.33,0.37
2,26000030,152,72,47.37,18.95
2,26000031,13,5,38.46,1.62
2,26000032,41,15,36.59,5.11
2,26000033,55,31,56.36,6.86
2,26000034,37,19,51.35,4.61
2,26000035,41,21,51.22,5.11
2,26000036,13,7,53.85,1.62
2,26000037,55,31,56.36,6.86
2,26000038,51,25,49.02,6.36
2,26000039,17,8,47.06,2.12
2,26000040,135,54,40.00,16.83
2,26000041,139,60,43.17,17.33
2,26000042,66,31,46.97,8.23
2,26000043,26,12,46.15,3.24
2,26000044,49,21,42.86,6.11
2,26000045,45,29,64.44,5.61
2,26000046,21,11,52.38,2.62
2,26000047,41,21,51.22,5.11
2,26000048,8,5,62.50,1.00
2,26000049,77,35,45.45,9.60
2,26000050,23,14,60.87,2.87
2,26000051,16,9,56.25,2.00
2,26000052,11,8,72.73,1.37
2,26000053,4,3,75.00,0.50
2,26000054,7,4,57.14,0.87
2,26000055,227,105,46.26,28.30
2,26000056,51,29,56.86,6.36
2,26000057,15,9,60.00,1.87
2,26000058,30,11,36.67,3.74
2,26000059,23,12,52.17,2.87
2,26000060,9,4,44.44,1.12
2,26000061,10,6,60.00,1.25
2,26000062,11,6,54.55,1.37
2,26000063,35,19,54.29,4.36
2,26000064,248,127,51.21,30.92
2,26000065,26,12,46.15,3.24
2,26000067,16,11,68.75,2.00
2,26000068,20,12,60.00,2.49
2,26000069,23,12,52.17,2.87
2,26000072,9,2,22.22,1.12
2,26000074,15,2,13.33,1.87
2,26000077,9,2,22.22,1.12
2,26000080,4,2,50.00,0.50
2,26000083,16,8,50.00,2.00
2,26000084,44,27,61.36,5.49
2,26000085,23,8,34.78,2.87
2,26000087,1,0,0.00,0.12
2,26000093,5,3,60.00,0.62
2,26000095,4,2,50.00,0.50
2,26000096,2,0,0.00,0.25
2,26000097,24,12,50.00,2.99
2,26000099,7,1,14.29,0.87
2,26000101,3,1,33.33,0.37
2,26000102,16,9,56.25,2.00
2,26000103,18,12,66.67,2.24
2,27000000,95,33,34.74,11.85
2,27000001,7,4,57.14,0.87
2,27000002,38,21,55.26,4.74
2,27000003,81,33,40.74,10.10
2,27000004,25,14,56.00,3.12
2,27000006,135,77,57.04,16.83
2,27000007,8,3,37.50,1.00
2,27000008,17,10,58.82,2.12
2,27000009,10,4,40.00,1.25
2,27000010,37,24,64.86,4.61
2,27000012,35,19,54.29,4.36
2,27000013,11,5,45.45,1.37
2,28000000,206,113,54.85,25.69
2,28000001,187,91,48.66,23.32
2,28000002,17,7,41.18,2.12
2,28000003,38,16,42.11,4.74
2,28000004,190,77,40.53,23.69
2,28000005,39,19,48.72,4.86
2,28000006,27,16,59.26,3.37
2,28000007,36,19,52.78,4.49
2,28000008,174,82,47.13,21.70
2,28000009,21,13,61.90,2.62
2,28000010,48,27,56.25,5.99
2,28000011,322,165,51.24,40.15
2,28000012,82,50,60.98,10.22
2,28000013,6,1,16.67,0.75
2,28000014,68,43,63.24,8.48
2,28000015,83,42,50.60,10.35
2,28000016,1,1,100.00,0.12
2,28000017,69,33,47.83,8.60
2,28000018,36,19,52.78,4.49
2,28000023,2,1,50.00,0.25
2,28000024,20,11,55.00,2.49
2,28000025,1,0,0.00,0.12
2,28000026,33,23,69.70,4.11
3,26000000,116,70,60.34,30.13
3,26000001,17,8,47.06,4.42
3,26000003,23,17,73.91,5.97
3,26000004,29,8,27.59,7.53
3,26000005,19,14,73.68,4.94
3,26000006,20,9,45.00,5.19
3,26000007,97,47,48.45,25.19
3,26000008,17,13,76.47,4.42
3,26000009,9,6,66.67,2.34
3,26000010,63,35,55.56,16.36
3,26000011,82,37,45.12,21.30
3,26000012,59,31,52.54,15.32
3,26000013,8,7,87.50,2.08
3,26000014,41,24,58.54,10.65
3,26000015,16,5,31.25,4.16
3,26000016,14,8,57.14,3.64
3,26000017,28,13,46.43,7.27
3,26000018,124,72,58.06,32.21
3,26000019,12,9,75.00,3.12
3,26000020,7,4,57.14,1.82
3,26000021,66,34,51.52,17.14
3,26000022,15,7,46.67,3.90
3,26000023,11,4,36.36,2.86
3,26000024,8,4,50.00,2.08
3,26000025,19,7,36.84,4.94
3,26000026,26,15,57.69,6.75
3,26000027,20,5,25.00,5.19
3,26000028,4,1,25.00,1.04
3,26000029,2,1,50.00,0.52
3,26000030,55,35,63.64,14.29
3,26000031,4,1,25.00,1.04
3,26000032,9,3,33.33,2.34
3,26000033,17,8,47.06,4.42
3,26000034,7,2,28.57,1.82
3,26000035,19,7,36.84,4.94
3,26000036,14,3,21.43,3.64
3,26000037,18,6,33.33,4.68
3,26000038,11,4,36.36,2.86
3,26000039,5,3,60.00,1.30
3,26000040,86,45,52.33,22.34
3,26000041,57,25,43.86,14.81
3,26000042,24,6,25.00,6.23
3,26000043,18,8,44.44,4.68
3,26000044,6,4,66.67,1.56
3,26000045,50,28,56.00,12.99
3,26000046,18,5,27.78,4.68
3,26000047,6,3,50.00,1.56
3,26000048,2,1,50.00,0.52
3,26000049,34,15,44.12,8.83
3,26000050,17,4,23.53,4.42
3,26000051,4,2,50.00,1.04
3,26000052,2,2,100.00,0.52
3,26000053,6,3,50.00,1.56
3,26000054,4,1,25.00,1.04
3,26000055,134,64,47.76,34.81
3,26000056,31,21,67.74,8.05
3,26000057,32,16,50.00,8.31
3,26000058,16,8,50.00,4.16
3,26000059,21,8,38.10,5.45
3,26000060,12,5,41.67,3.12
3,26000061,3,1,33.33,0.78
3,26000062,28,9,32.14,7.27
3,26000063,24,12,50.00,6.23
3,26000064,133,64,48.12,34.55
3,26000065,38,16,42.11,9.87
3,26000067,7,3,42.86,1.82
3,26000068,5,1,20.00,1.30
3,26000069,11,7,63.64,2.86
3,26000072,2,1,50.00,0.52
3,26000074,27,9,33.33,7.01
3,26000077,24,12,50.00,6.23
3,26000080,2,0,0.00,0.52
3,26000083,11,4,36.36,2.86
3,26000084,15,10,66.67,3.90
3,26000085,18,10,55.56,4.68
3,26000087,24,12,50.00,6.23
3,26000095,2,2,100.00,0.52
3,26000096,2,2,100.00,0.52
3,26000097,2,1,50.00,0.52
3,26000099,3,1,33.33,0.78
3,26000102,6,3,50.00,1.56
3,26000103,16,7,43.75,4.16
3,27000000,31,14,45.16,8.05
3,27000001,4,0,0.00,1.04
3,27000002,2,1,50.00,0.52
3,27000003,34,19,55.88,8.83
3,27000004,3,1,33.33,0.78
3,27000006,89,51,57.30,23.12
3,27000007,7,2,28.57,1.82
3,27000008,3,2,66.67,0.78
3,27000009,32,17,53.12,8.31
3,27000010,4,2,50.00,1.04
3,27000012,5,3,60.00,1.30
3,28000000,63,33,52.38,16.36
3,28000001,114,61,53.51,29.61
3,28000002,23,10,43.48,5.97
3,28000003,12,7,58.33,3.12
3,28000004,103,52,50.49,26.75
3,28000005,18,7,38.89,4.68
3,28000006,7,4,57.14,1.82
3,28000007,22,12,54.55,5.71
3,28000008,69,36,52.17,17.92
3,28000009,42,17,40.48,10.91
3,28000010,12,6,50.00,3.12
3,28000011,114,55,48.25,29.61
3,28000012,28,12,42.86,7.27
3,28000013,5,2,40.00,1.30
3,28000014,6,2,33.33,1.56
3,28000015,66,35,53.03,17.14
3,28000016,5,2,40.00,1.30
3,28000017,14,6,42.86,3.64
3,28000018,11,7,63.64,2.86
3,28000024,4,3,75.00,1.04
3,28000026,14,7,50.00,3.64
4,26000000,92,49,53.26,19.87
4,26000001,62,30,48.39,13.39
4,26000002,14,3,21.43,3.02
4,26000003,21,11,52.38,4.54
4,26000004,60,36,60.00,12.96
4,26000005,21,11,52.38,4.54
4,26000006,15,7,46.67,3.24
4,26000007,159,82,51.57,34.34
4,26000008,38,12,31.58,8.21
4,26000009,15,4,26.67,3.24
4,26000010,88,54,61.36,19.01
4,26000011,87,47,54.02,18.79
4,26000012,143,72,50.35,30.89
4,26000013,44,25,56.82,9.50
4,26000014,58,37,63.79,12.53
4,26000015,89,48,53.93,19.22
4,26000016,50,17,34.00,10.80
4,26000017,80,34,42.50,17.28
4,26000018,194,101,52.06,41.90
4,26000019,15,2,13.33,3.24
4,26000020,5,4,80.00,1.08
4,26000021,121,60,49.59,26.13
4,26000022,2,1,50.00,0.43
4,26000023,22,6,27.27,4.75
4,26000024,7,1,14.29,1.51
4,26000025,22,9,40.91,4.75
4,26000026,14,7,50.00,3.02
4,26000027,39,22,56.41,8.42
4,26000028,6,2,33.33,1.30
4,26000030,33,14,42.42,7.13
4,26000031,28,21,75.00,6.05
4,26000032,40,25,62.50,8.64
4,26000033,13,5,38.46,2.81
4,26000034,4,1,25.00,0.86
4,26000035,19,8,42.11,4.10
4,26000036,23,9,39.13,4.97
4,26000037,40,15,37.50,8.64
4,26000038,10,3,30.00,2.16
4,26000039,11,1,9.09,2.38
4,26000040,58,36,62.07,12.53
4,26000041,20,6,30.00,4.32
4,26000042,30,10,33.33,6.48
4,26000043,12,5,41.67,2.59
4,26000044,62,38,61.29,13.39
4,26000045,43,27,62.79,9.29
4,26000046,7,3,42.86,1.51
4,26000047,31,13,41.94,6.70
4,26000048,2,0,0.00,0.43
4,26000049,84,49,58.33,18.14
4,26000050,83,48,57.83,17.93
4,26000051,6,1,16.67,1.30
4,26000052,27,13,48.15,5.83
4,26000053,5,2,40.00,1.08
4,26000055,128,64,50.00,27.65
4,26000056,11,0,0.00,2.38
4,26000057,3,0,0.00,0.65
4,26000058,10,8,80.00,2.16
4,26000059,82,39,47.56,17.71
4,26000060,4,1,25.00,0.86
4,26000062,5,1,20.00,1.08
4,26000063,18,5,27.78,3.89
4,26000064,55,26,47.27,11.88
4,26000065,1,0,0.00,0.22
4,26000067,6,3,50.00,1.30
4,26000068,3,1,33.33,0.65
4,26000069,8,5,62.50,1.73
4,26000072,1,1,100.00,0.22
4,26000074,48,29,60.42,10.37
4,26000080,4,2,50.00,0.86
4,26000083,6,3,50.00,1.30
4,26000084,26,14,53.85,5.62
4,26000085,5,0,0.00,1.08
4,26000093,1,1,100.00,0.22
4,26000096,1,0,0.00,0.22
4,26000097,1,1,100.00,0.22
4,26000102,4,1,25.00,0.86
4,26000103,5,2,40.00,1.08
4,27000000,106,62,58.49,22.89
4,27000001,10,5,50.00,2.16
4,27000002,2,0,0.00,0.43
4,27000003,21,7,33.33,4.54
4,27000004,8,4,50.00,1.73
4,27000006,60,27,45.00,12.96
4,27000007,1,0,0.00,0.22
4,27000008,7,4,57.14,1.51
4,27000009,11,4,36.36,2.38
4,27000010,3,0,0.00,0.65
4,27000012,28,12,42.86,6.05
4,27000013,1,1,100.00,0.22
4,28000000,120,67,55.83,25.92
4,28000001,169,98,57.99,36.50
4,28000002,28,14,50.00,6.05
4,28000003,7,1,14.29,1.51
4,28000004,101,50,49.50,21.81
4,28000005,9,3,33.33,1.94
4,28000006,2,1,50.00,0.43
4,28000007,11,5,45.45,2.38
4,28000008,71,28,39.44,15.33
4,28000009,11,4,36.36,2.38
4,28000010,6,3,50.00,1.30
4,28000011,72,40,55.56,15.55
4,28000012,3,1,33.33,0.65
4,28000013,2,1,50.00,0.43
4,28000014,3,2,66.67,0.65
4,28000015,78,42,53.85,16.85
4,28000016,2,0,0.00,0.43
4,28000017,17,6,35.29,3.67
4,28000018,12,6,50.00,2.59
4,28000024,2,1,50.00,0.43
4,28000025,1,0,0.00,0.22
4,28000026,9,3,33.33,1.94
